tPlunge  logmu  logM  ePlunge  nuPlunge  gamPlunge  phiPlunge  costhetaSky  phiSky  cosLambda  alpPlunge  SMBHspin  costhetaSpin  phiSpin  Zeta  SMBHQuad  SNR_tot  dist  
38521390.5137   -9.62904601103   2.10469736435   0.174857593325   0.00279386487705   0.766127555017   3.95851476737   -0.455919321417   6.01006523447   0.340826906068   2.47654429315   0.988   0.214813113424   1.35599536823   3.63670911715e-22   0.0   197.2142337   1.7575999995593263   
30849310.3123   -9.81983333824   0.593377486318   0.0195352734895   0.00381934727735   1.2158338666   0.378683365152   0.571108955109   0.090996335972   -0.777074059481   2.60725767329   0.9842   0.0910055549612   1.08626052932   1.11615880563e-21   0.0   229.555259203   0.4731999998784433   
49049389.6817   -9.58725720096   1.55034689385   0.147591283965   0.010714916919   1.91812370478   3.547535036   -0.839329540879   3.71122313315   0.769205150714   0.723099282248   0.998   0.325968539513   6.13132036003   3.15128310912e-22   0.0   120.11446116   2.1148999994557407   
51685173.4453   -9.65644498522   0.309834072784   0.0843879228096   0.0359705758024   0.839089812906   4.57612664764   0.680805060612   1.11148546026   0.898963017807   1.18579039742   0.9784   -0.0981284581521   4.27183554708   4.03918064058e-22   0.0   106.06155855   1.5396999996094791   
28873061.5934   -9.47921485345   1.95818582047   0.188175545848   0.00389775388656   4.18109672227   4.67431440731   -0.844296269916   5.10622246381   0.472033779519   2.36664351585   0.9891   -0.464772598229   6.24843907983   2.33352752295e-22   0.0   100.599101725   3.1818999991873684   
40562932.317   -9.50506823228   1.95973320425   0.0958821169683   0.00446976305484   0.611357245309   2.00899881159   -0.0089643605657   1.66001247462   0.623331781786   6.11334419942   0.9712   -0.714796647596   4.65863878277   2.48926575078e-22   0.0   115.782682688   2.906699999253413   
51521968.3166   -9.63009470027   1.18975265171   0.093940967915   0.00329675018021   2.30650197088   4.86144089429   -0.248765367005   2.12817145917   -0.0127033315144   3.45090818712   0.9908   0.785706018804   4.32699799994   3.65096938769e-22   0.0   113.446044299   1.7488999995491057   
53530466.4077   -9.66992415746   0.873152466337   0.0187590515806   0.0165559925441   2.76768909613   0.339338729195   -0.238573457995   0.29939392818   0.79674902183   4.34849467443   0.9692   -0.956629731368   6.16175562887   4.27169325856e-22   0.0   121.289494373   1.4363999996383838   
52508945.132   -9.47074348974   2.02537310405   0.12007400184   0.00311756836823   3.93703967665   5.06531620284   0.25634303063   5.97163463138   0.391440352375   3.49977483509   0.9808   0.539707428195   2.02442993837   2.28682813084e-22   0.0   113.922205613   3.2744999991457844   
15663347.3723   -9.65191540088   1.48660972797   0.16535557029   0.0071814094817   2.89547222505   4.04642775538   -0.741029649875   2.04591742341   0.585580767918   3.58184374355   0.9805   0.802590237505   3.69452335329   3.96708177914e-22   0.0   147.172435583   1.5747999995932684   
41982877.8543   -9.53221922134   1.62449632974   0.085329748974   0.00848297030912   1.49430780005   5.17289972438   -0.0740037989191   0.404061750831   0.753649056733   2.15528426503   0.9882   -0.42309048157   1.32037845115   2.67594125635e-22   0.0   104.321846735   2.6314999993325148   
48460827.8839   -9.73751417625   -0.182016298838   0.0274898778244   0.0113390747534   4.5416408019   0.648823248407   0.300667283658   3.78209239228   -0.200828593117   4.08636850816   0.9935   -0.472472506804   3.57706067781   5.95765878743e-22   0.0   101.223767139   0.9625999997571097   
